
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:52:A1:3C:5F:7E, 2025-03-20 18:08:13, 2025-03-20 18:08:22,  8, 270, WPA2, CCMP, PSK, -24,       25,        0,   0.  0.  0.  0,   0, , 
30:B5:C2:4D:91:27, 2025-03-20 18:08:13, 2025-03-20 18:08:22,  1, 270, WPA2 WPA, CCMP TKIP, PSK, -64,        9,        3,   0.  0.  0.  0,  11, Orange-F5D0, 
98:DA:C4:E9:7A:24, 2025-03-20 18:08:13, 2025-03-20 18:08:21,  1, 130, WPA2, CCMP, PSK, -68,        7,        0,   0.  0.  0.  0,  12, TP-Link_7A24, 
4C:09:D4:3D:F5:D2, 2025-03-20 18:08:13, 2025-03-20 18:08:21,  1, 130, WPA2, CCMP, PSK, -71,        8,        1,   0.  0.  0.  0,  11, Orange-F5D0, 
3E:52:A1:2C:5F:7E, 2025-03-20 18:08:13, 2025-03-20 18:08:22,  8, 270, WPA3 WPA2, CCMP, SAE PSK, -25,       23,        0,   0.  0.  0.  0,   4, PSAE, 
3C:52:A1:3C:5F:76, 2025-03-20 18:08:14, 2025-03-20 18:08:22,  8, 270, WPA2, CCMP, PSK, -57,       18,        0,   0.  0.  0.  0,   0, , 
3E:52:A1:2C:5F:76, 2025-03-20 18:08:14, 2025-03-20 18:08:22,  8, 270, WPA3 WPA2, CCMP, SAE PSK, -57,       16,        4,   0.  0.  0.  0,   4, PSAE, 
C0:B1:01:10:12:F6, 2025-03-20 18:08:14, 2025-03-20 18:08:22,  8, 270, WPA2, CCMP TKIP, PSK, -59,       15,        0,   0.  0.  0.  0,  14, DIGIFIBRA-3DE7, 
00:EB:D8:D6:78:76, 2025-03-20 18:08:15, 2025-03-20 18:08:22,  4, 540, WPA2, CCMP TKIP, PSK, -45,        9,        0,   0.  0.  0.  0,   0, , 
02:EB:D8:26:78:76, 2025-03-20 18:08:15, 2025-03-20 18:08:22,  4, 540, WPA2, CCMP, PSK, -45,       11,        0,   0.  0.  0.  0,  14, gueraudeliost8, 
00:EB:D8:D6:76:5E, 2025-03-20 18:08:15, 2025-03-20 18:08:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:EB:D8:D6:76:22, 2025-03-20 18:08:15, 2025-03-20 18:08:19,  4, 540, WPA2, CCMP TKIP, PSK, -54,        6,        0,   0.  0.  0.  0,   0, , 
02:EB:D8:26:76:22, 2025-03-20 18:08:15, 2025-03-20 18:08:20,  4, 540, WPA2, CCMP, PSK, -55,       10,        0,   0.  0.  0.  0,  14, gueraudeliost8, 
CC:ED:DC:97:69:DC, 2025-03-20 18:08:16, 2025-03-20 18:08:21, 11, 130, WPA2, CCMP, PSK, -56,        6,        1,   0.  0.  0.  0,  13, MOVISTAR_69DB, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
06:EB:D8:D6:76:22, 2025-03-20 18:08:15, 2025-03-20 18:08:19, -58,        9, 00:EB:D8:D6:76:5E,
06:EB:D8:D6:78:76, 2025-03-20 18:08:15, 2025-03-20 18:08:19, -45,       10, 00:EB:D8:D6:76:5E,
DE:4D:53:71:2C:E0, 2025-03-20 18:08:17, 2025-03-20 18:08:21, -72,        8, 4C:09:D4:3D:F5:D2,

